CMDLINE '/Users/anson/Library/CloudStorage/SynologyDrive-Home/Drive/Documents/University/CUHK/Learning Materials/Sync/DD2358/asm1/.venv/bin/python' Diffusion.py
MEM 0.171875 1768913204.2182
MEM 55.515625 1768913204.3234
MEM 90.859375 1768913204.4261
MEM 111.062500 1768913204.5282
MEM 106.625000 1768913204.6332
MEM 104.906250 1768913204.7362
MEM 109.906250 1768913204.8403
MEM 105.906250 1768913204.9451
MEM 113.890625 1768913205.0490
MEM 108.625000 1768913205.1505
MEM 108.906250 1768913205.2555
MEM 112.609375 1768913205.3607
MEM 109.906250 1768913205.4632
MEM 110.906250 1768913205.5653
MEM 111.906250 1768913205.6680
MEM 112.906250 1768913205.7718
MEM 113.765625 1768913205.8726
MEM 113.906250 1768913205.9751
MEM 113.906250 1768913206.0802
MEM 113.906250 1768913206.1853
MEM 113.906250 1768913206.2905
MEM 113.906250 1768913206.3944
MEM 113.906250 1768913206.4961
MEM 113.906250 1768913206.5988
MEM 113.906250 1768913206.7021
MEM 113.906250 1768913206.8072
MEM 113.906250 1768913206.9122
MEM 113.906250 1768913207.0172
MEM 113.906250 1768913207.1198
MEM 113.906250 1768913207.2245
MEM 113.906250 1768913207.3296
MEM 113.906250 1768913207.4321
MEM 113.906250 1768913207.5333
MEM 113.906250 1768913207.6383
MEM 113.906250 1768913207.7434
MEM 113.906250 1768913207.8485
MEM 113.906250 1768913207.9535
MEM 113.906250 1768913208.0586
MEM 113.906250 1768913208.1610
MEM 113.906250 1768913208.2661
MEM 113.906250 1768913208.3676
MEM 113.906250 1768913208.4713
MEM 113.906250 1768913208.5765
MEM 113.906250 1768913208.6813
MEM 113.906250 1768913208.7864
MEM 113.906250 1768913208.8897
MEM 113.921875 1768913208.9948
MEM 113.921875 1768913209.0997
MEM 113.921875 1768913209.2049
MEM 113.921875 1768913209.3095
MEM 113.921875 1768913209.4145
MEM 113.921875 1768913209.5174
MEM 113.921875 1768913209.6226
MEM 113.921875 1768913209.7259
MEM 113.921875 1768913209.8310
MEM 113.921875 1768913209.9316
MEM 113.921875 1768913210.0368
MEM 113.921875 1768913210.1419
MEM 113.921875 1768913210.2469
MEM 113.921875 1768913210.3508
MEM 113.921875 1768913210.4546
MEM 113.921875 1768913210.5595
MEM 113.921875 1768913210.6630
MEM 113.921875 1768913210.7661
MEM 113.921875 1768913210.8711
MEM 113.921875 1768913210.9763
MEM 113.921875 1768913211.0772
MEM 113.921875 1768913211.1793
MEM 113.921875 1768913211.2802
MEM 113.921875 1768913211.3852
MEM 113.921875 1768913211.4899
MEM 113.921875 1768913211.5949
